sample_id,group_id,group_name,relative_path,path,split,image_width,image_height,bbox_x,bbox_y,bbox_w,bbox_h,num_keypoints,keypoints_json,dataset_name,source,source_code,annotation_id,image_id,category_id,segmentation_json
mtddh_kp::Dataset1/Keypoints/Train/235axo.jpg,mtddh_kp::235axo,235axo,Dataset1/Keypoints/Train/235axo.jpg,C:\Users\pvppv\Desktop\roo\MTDDH\Dataset1\Keypoints\Train\235axo.jpg,train,1028,772,158.0,43.0,726.0,548.0,8,"[252, 297, 2, 340, 331, 2, 283, 359, 2, 277, 397, 2, 772, 308, 2, 687, 340, 2, 733, 370, 2, 747, 406, 2]",MTDDH,MTDDH_Keypoints,mtddh_kp,2718,2788,1,"[[884.3, 43.1, 884.3, 590.7, 157.8, 590.7, 157.8, 43.1]]"
mtddh_kp::Dataset1/Keypoints/Train/a1.jpg,mtddh_kp::a1,a1,Dataset1/Keypoints/Train/a1.jpg,C:\Users\pvppv\Desktop\roo\MTDDH\Dataset1\Keypoints\Train\a1.jpg,train,1128,736,176.0,55.0,844.0,607.0,8,"[321, 388, 2, 420, 424, 2, 345, 454, 2, 340, 490, 2, 861, 375, 2, 768, 414, 2, 839, 437, 2, 845, 469, 2]",MTDDH,MTDDH_Keypoints,mtddh_kp,2719,2789,1,"[[1020.3, 55.3, 1020.3, 661.7, 176.1, 661.7, 176.1, 55.3]]"
mtddh_kp::Dataset1/Keypoints/Train/a10.jpg,mtddh_kp::a10,a10,Dataset1/Keypoints/Train/a10.jpg,C:\Users\pvppv\Desktop\roo\MTDDH\Dataset1\Keypoints\Train\a10.jpg,train,1831,1245,448.0,257.0,1134.0,867.0,8,"[643, 687, 2, 760, 738, 2, 670, 775, 2, 662, 822, 2, 1404, 656, 2, 1295, 715, 2, 1380, 740, 2, 1393, 789, 2]",MTDDH,MTDDH_Keypoints,mtddh_kp,2720,2790,1,"[[1581.5, 257.1, 1581.5, 1124.2, 448.4, 1124.2, 448.4, 257.1]]"
mtddh_kp::Dataset1/Keypoints/Train/a12.jpg,mtddh_kp::a12,a12,Dataset1/Keypoints/Train/a12.jpg,C:\Users\pvppv\Desktop\roo\MTDDH\Dataset1\Keypoints\Train\a12.jpg,train,1128,736,206.0,78.0,797.0,579.0,8,"[323, 390, 2, 419, 424, 2, 347, 451, 2, 343, 490, 2, 863, 377, 2, 767, 414, 2, 840, 437, 2, 846, 472, 2]",MTDDH,MTDDH_Keypoints,mtddh_kp,2721,2791,1,"[[1003.2, 78.1, 1003.2, 657.0, 206.4, 657.0, 206.4, 78.1]]"
mtddh_kp::Dataset1/Keypoints/Train/a14.jpg,mtddh_kp::a14,a14,Dataset1/Keypoints/Train/a14.jpg,C:\Users\pvppv\Desktop\roo\MTDDH\Dataset1\Keypoints\Train\a14.jpg,train,1116,740,116.0,58.0,873.0,574.0,8,"[223, 394, 2, 336, 415, 2, 277, 466, 2, 275, 507, 2, 884, 356, 2, 775, 391, 2, 843, 433, 2, 849, 471, 2]",MTDDH,MTDDH_Keypoints,mtddh_kp,2722,2792,1,"[[989.1, 57.5, 989.1, 632.0, 115.6, 632.0, 115.6, 57.5]]"
mtddh_kp::Dataset1/Keypoints/Train/a15.jpg,mtddh_kp::a15,a15,Dataset1/Keypoints/Train/a15.jpg,C:\Users\pvppv\Desktop\roo\MTDDH\Dataset1\Keypoints\Train\a15.jpg,train,1174,885,143.0,89.0,848.0,621.0,8,"[295, 403, 2, 382, 432, 2, 324, 469, 2, 316, 496, 2, 835, 361, 2, 757, 404, 2, 813, 430, 2, 827, 459, 2]",MTDDH,MTDDH_Keypoints,mtddh_kp,2723,2793,1,"[[990.9, 89.3, 990.9, 710.2, 143.3, 710.2, 143.3, 89.3]]"
mtddh_kp::Dataset1/Keypoints/Train/a150.jpg,mtddh_kp::a150,a150,Dataset1/Keypoints/Train/a150.jpg,C:\Users\pvppv\Desktop\roo\MTDDH\Dataset1\Keypoints\Train\a150.jpg,train,1262,861,142.0,83.0,902.0,658.0,8,"[280, 393, 2, 379, 435, 2, 306, 480, 2, 292, 524, 2, 932, 376, 2, 828, 430, 2, 904, 470, 2, 916, 517, 2]",MTDDH,MTDDH_Keypoints,mtddh_kp,2724,2794,1,"[[1043.9, 82.5, 1043.9, 740.9, 141.7, 740.9, 141.7, 82.5]]"
mtddh_kp::Dataset1/Keypoints/Train/a151.jpg,mtddh_kp::a151,a151,Dataset1/Keypoints/Train/a151.jpg,C:\Users\pvppv\Desktop\roo\MTDDH\Dataset1\Keypoints\Train\a151.jpg,train,776,642,58.0,34.0,662.0,451.0,8,"[161, 275, 2, 236, 311, 2, 180, 326, 2, 173, 355, 2, 616, 257, 2, 543, 297, 2, 597, 314, 2, 606, 341, 2]",MTDDH,MTDDH_Keypoints,mtddh_kp,2725,2795,1,"[[719.9, 34.2, 719.9, 484.6, 57.9, 484.6, 57.9, 34.2]]"
mtddh_kp::Dataset1/Keypoints/Train/a152.jpg,mtddh_kp::a152,a152,Dataset1/Keypoints/Train/a152.jpg,C:\Users\pvppv\Desktop\roo\MTDDH\Dataset1\Keypoints\Train\a152.jpg,train,1096,764,138.0,59.0,752.0,574.0,8,"[271, 346, 2, 357, 380, 2, 295, 412, 2, 292, 442, 2, 805, 316, 2, 726, 361, 2, 798, 380, 2, 801, 414, 2]",MTDDH,MTDDH_Keypoints,mtddh_kp,2726,2796,1,"[[889.8, 59.4, 889.8, 632.8, 138.4, 632.8, 138.4, 59.4]]"
mtddh_kp::Dataset1/Keypoints/Train/a153.jpg,mtddh_kp::a153,a153,Dataset1/Keypoints/Train/a153.jpg,C:\Users\pvppv\Desktop\roo\MTDDH\Dataset1\Keypoints\Train\a153.jpg,train,1195,1006,94.0,72.0,1011.0,796.0,8,"[240, 454, 2, 360, 505, 2, 280, 557, 2, 258, 605, 2, 948, 462, 2, 834, 511, 2, 911, 562, 2, 938, 613, 2]",MTDDH,MTDDH_Keypoints,mtddh_kp,2727,2797,1,"[[1104.6, 71.7, 1104.6, 868.2, 94.4, 868.2, 94.4, 71.7]]"
